"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C1285329" "Infective disorder of head" "G/P" "C0348336" "Other and unspecified infectious diseases"
"2" "C1096584" "Chlamydia pneumoniae infection" "A" "C0008149" "Chlamydia Infections"
"3" "C0162281" "Corneal deposit" "A" "C0339249" "Corneal pigmentations and deposits"
"4" "C1853297" "MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8, WITH EXOCRINE DYSFUNCTION" "A" "C0011860;C0494290;C0494293" "Diabetes Mellitus, Non-Insulin-Dependent;Type 2 diabetes mellitus without complication;Other specified diabetes mellitus without complications"
"5" "C0398593" "Specific granule deficiency" "A" "C0016808;C0023510" "Functional disorders of polymorphonuclear neutrophils;Leukocyte Disorders"
"6" "C1142152" "Heart valve calcification" "A" "C0495789" "Abnormal findings diagnostic imaging heart+coronary circulat"
"7" "C0267681" "Strangulated inguinal hernia" "G/P" "C0019294" "Hernia, Inguinal"
"8" "C0154379" "Schizo-affective type schizophrenia, in remission" "A" "C0036337" "Schizoaffective Disorder"
"9" "C0221773" "Hyperamylasemia" "G/P" "C0495709" "Abnormal levels of other serum enzymes"
"10" "C0235969" "Disorder of ejaculation" "G/P" "C0080276" "Disorder of the genitourinary system"
"11" "C0155188" "Senile entropion" "A" "C0339058" "Entropion and trichiasis of eyelid"
"12" "C0815110" "excessive attention to detail" "O" "C0004936;C0478141" "Mental disorders;Other symptoms and signs involving appearance and behavior"
"13" "C2200312" "marginal zone lymphoma of mucosa-associated lymphoid tissue" "G/P" "C0348396" "B-cell lymphoma, unspecified"
"14" "C0854792" "Bile duct cancer resectable" "G/P" "C0153453" "Malignant tumor of extrahepatic bile duct"
"15" "C0265604" "Mirror hands" "G/P" "C0018566;C0158795;C0206762;C0478070" "Congenital Hand Deformities;Other and unspecified congenital anomalies;Limb Deformities, Congenital;Other congenital malformations of upper limb(s), including shoulder girdle"
"16" "C1265688" "Simple laceration" "A" "C0478386;C0478393" "Open wound of unspecified body region;Other injuries of unspecified body region"
"17" "C0346903" "Malignant neoplasm of cerebrum" "A" "C0153634" "Malignant neoplasm of cerebrum (excluding lobes and ventricles)"
"18" "C0581359" "Acute intestinal obstruction" "G/P" "C0348741" "Other and unspecified intestinal obstruction"
"19" "C0274741" "Poisoning by clonidine" "G/P" "C0161609;C0452116;C0496984" "Poisoning by other and unspecified agents primarily affecting the cardiovascular system;Poisoning by angiotensin-converting-enzyme inhibitors;Poisoning by predominantly beta-adrenoreceptor agonists, NEC in ICD10AM_2000"
"20" "C0349531" "Late gastric cancer" "A" "C0024623" "Malignant neoplasm of stomach"
"21" "C1336939" "Vaginal Leiomyoma" "G/P" "C0042133;C0154002" "Uterine Fibroids;Benign neoplasm vagina"
"22" "C1561842" "Idiopathic insomnia" "O" "C0349255" "Nonorganic Insomnia"
"23" "C1270923" "Functional amblyopia" "G/P" "C0152187" "Amblyopia ex anopsia"
"24" "C0241032" "shin pain" "G/P" "C0030193" "Pain"
"25" "C0558143" "Macerated skin (finding)" "G/P" "C0178298" "Skin and subcutaneous tissue disorders"
"26" "C0264978" "Embolic infarction" "G/P" "C0013924;C3263723" "Embolism and thrombosis of unspecified artery;Traumatic injury"
"27" "C0162550" "Akathisia, Drug-Induced" "A" "C0154678" "Other extrapyramidal diseases and abnormal movement disorders"
"28" "C0275485" "Thevetia peruviana poisoning" "G/P" "C0478468" "Toxic effect of other ingested (parts of) plant(s)"
"29" "C1321080" "Sequelae of meningitis" "A" "C0477345" "Sequelae of inflammatory diseases of the central nervous system"
"30" "C0278559" "Stage I Esophageal Cancer" "G/P" "C0546837" "Malignant neoplasm of esophagus"
"31" "C0275553" "Bacterial cholangitis" "A" "C0008311" "Cholangitis"
"32" "C0853694" "Rhesus haemolytic disease of newborn" "G/P" "C0477932;C0495423" "Other hemolytic diseases of fetus and newborn;Hemolytic disease of fetus OR newborn"
"33" "C0745216" "Carcinoid tumor of ileum" "G/P" "C0153658;C0346627;C0348342" "Malignant neoplasm of endocrine gland;Intestinal Cancer;Malignant neoplasm ill-defined sites within digestive wall system"
"34" "C0854488" "Carcinoid tumour of the caecum" "G/P" "C0153437;C0153658;C0348342" "Malignant neoplasm of cecum;Malignant neoplasm of endocrine gland;Malignant neoplasm ill-defined sites within digestive wall system"
"35" "C0265053" "Thrombophlebitis of lower extremities" "A" "C0340712" "Phlebitis and thrombophlebitis of lower extremities, unspecified"
"36" "C0274518" "Rifampicin poisoning" "A" "C0274484" "Antimycobacterial drug poisoning"
"37" "C0433991" "Injury of inner ear" "G/P" "C0018674;C0494559" "Craniocerebral Trauma;Diseases of inner ear"
"38" "C0434294" "Muscle sprain" "O" "C0451851" "Injury of muscle and tendon of abdomen, lower back and pelvis"
"39" "C0343231" "Ganglion of wrist" "A" "C1258666" "Myxoid cyst"
"40" "C0013374" "Dysgammaglobulinemia" "A" "C0009447" "Common Variable Immunodeficiency"
"41" "C0151946" "Pulmonary thrombosis" "G/P" "C0178272;C0265780;C0348712;C0494623" "Disorder of pulmonary circulation;Congenital absence of lung;Other disorders of lung;Embolism and thrombosis of unspecified vein"
"42" "C1333978" "Hepatitis C Virus-Related Hepatocellular Carcinoma" "G/P" "C0042769;C2239176" "Virus Diseases;Liver carcinoma"
"43" "C0455991" "Fetal dysrhythmia" "G/P" "C0003811;C0477917" "Cardiac Arrhythmia;Perinatal cardiovascular disorders"
"44" "C0342162" "Compensated hypothyroidism" "A" "C0494273" "Other specified hypothyroidism"
"45" "C0751238" "Hypothalamic Cancer" "G/P" "C0014130;C0153633;C0349015;C0349016;C0478660;C0496936" "Endocrine System Diseases;Malignant neoplasm of brain;Neoplasm of uncertain or unknown behavior of brain, supratentorial;Neoplasm of uncertain or unknown behavior of brain, infratentorial;Localized swelling, mass and lump, head;Neoplasm of uncertain or unknown behavior of brain, unspecified"
"46" "C0235625" "Renal failure acute ischemic" "A" "C0022660" "Kidney Failure, Acute"
"47" "C0545017" "Increased mesangial matrix" "O" "C1609433" "Congenital absence of kidneys syndrome"
"48" "C0856416" "Secondary dementia" "A" "C0497327" "Dementia"
"49" "C0349413" "Hyperdynamic septic shock" "G/P" "C0036690;C0036974" "Septicemia;Shock"
"50" "C0434026" "Transection of liver" "G/P" "C0023895;C0273128;C0452054" "Liver diseases;Internal injury of abdominal organs;Injuries of intrathoracic organs with intra-abdominal and pelvic organs"
"51" "C0266348" "Double urethra" "G/P" "C0495591" "Other congenital malformations of urinary system"
"52" "C3494607" "Metastasis to liver from adenocarcinoma" "G/P" "C0494165" "Secondary malignant neoplasm of liver"
"53" "C0238437" "Fish sting" "G/C" "C3263723" "Traumatic injury"
"54" "C0085621" "Spastic paralysis" "A" "C0270788" "Paralytic syndrome"
"55" "C0948437" "Bone marrow dysplasia" "A" "C0026986" "Dysmyelopoietic Syndromes"
"56" "C1443296" "Axial myopia" "A" "C0027092" "Myopia"
"57" "C0342541" "Precocious pubarche" "A" "C0034013" "Precocious Puberty"
"58" "C0266997" "Stenosis of salivary duct" "A" "C0348723" "Other diseases of salivary glands"
"59" "C1698581" "Rokitansky Kuster Hauser syndrome" "G/S" "C0478147" "General symptoms and signs (R50-R69)"
"60" "C2315697" "Chronic systolic dysfunction of left ventricle" "A" "C0155717" "Other ill-defined heart diseases"
