"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C0241970" "lacune" "O" "C0007785" "Cerebral Infarction"
"2" "C0234229" "Deep pain" "A" "C0030193" "Pain"
"3" "C0278106" "Anejaculation" "G/P" "C0349261;C1145628" "Other sexual dysfunction, not caused by organic disorder or disease;Autonomic nervous system disorders"
"4" "C0149662" "Deformity of toe" "G/P" "C0263978;C0264155" "Disorder of soft tissue;Acquired deformity of limb"
"5" "C0277537" "Subacute disease" "O" "C0029499" "Effects of other and unspecified effects of high altitude"
"6" "C0149960" "Chronic pelvic inflammatory disease of the female pelvic organs AND/OR tissues" "A" "C0242172;C0404458" "Pelvic Inflammatory Disease;Chronic parametritis and pelvic cellulitis (disorder)"
"7" "C0026825" "Flaccid Muscle Tone" "G/P" "C0026848;C0263976" "Myopathy;Disorder of ligament"
"8" "C0020903" "Illusions" "A" "C0018524" "Hallucinations"
"9" "C0154731" "Glossopharyngeal Neuralgia" "A" "C0154725;C0751941" "Other disorders of nervous system;Glossopharyngeal Nerve Diseases"
"10" "C0271791" "Severe hypothyroidism" "A" "C0020676" "Hypothyroidism"
"11" "C0342704" "Cobalamin G" "G/P" "C0268613" "Disorder of sulfur-bearing amino acid metabolism"
"12" "C0238110" "Chronic epididymitis" "G/P" "C0495077" "Orchitis, epididymitis and epididymo-orchitis without abscess"
"13" "C0234958" "Muscle degeneration" "G/P" "C0263978" "Disorder of soft tissue"
"14" "C0574996" "Knee joint laxity" "G/P" "C0869063" "Other specific joint derangements, not elsewhere classified in ICD10CM"
"15" "C0585355" "Traumatic tympanic membrane perforation" "G/P" "C0206504" "Tympanic Membrane Perforation"
"16" "C3266753" "Severe left ventricular systolic dysfunction" "G/P" "C0155717" "Other ill-defined heart diseases"
"17" "C2063324" "dilated ischemic cardiomyopathy" "G/P" "C0349782" "Ischemic cardiomyopathy"
"18" "C1719495" "generalized aggressive periodontitis" "G/P" "C0001342;C0600298" "Acute pericementitis;Periodontosis"
"19" "C0700200" "Presyncope" "A" "C0039070" "Syncope"
