"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C0270627" "Myelitis, Acute Transverse" "A" "C0494470" "Acute transverse myelitis in demyelinating disease of central nervous system"
"2" "C0003129" "Anoxemia" "G/P" "C0004044" "Asphyxia"
"3" "C0004468" "Ayerza's syndrome" "A" "C0034072;C0152171" "Cor pulmonale;Idiopathic pulmonary hypertension"
"4" "C1541270" "stage IV marginal zone lymphoma" "G/P" "C0348396" "B-cell lymphoma, unspecified"
"5" "C0862226" "Mycosis fungoides/Sezary syndrome stage IV" "G/P" "C0026948" "Mycosis Fungoides"
"6" "C1855681" "Nephronophthisis, familial juvenile" "A" "C1691228;C2939174" "Cystic Kidney Diseases;Medullary cystic disease"
"7" "C0431399" "Familial aplasia of the vermis" "A" "C0015393;C0477971;C1691228" "Eye Abnormalities;Other reduction deformities of brain;Cystic Kidney Diseases"
"8" "C0038000" "Splenic Rupture" "G/P" "C0037997;C0478267" "Splenic Diseases;Unspecified injury of abdomen, lower back and pelvis"
"9" "C1334581" "Malignant Extragonadal Germ Cell Tumor" "G/P" "C0153658" "Malignant neoplasm of endocrine gland"
"10" "C1334582" "Malignant Extragonadal Non-Seminomatous Germ Cell Tumor" "G/P" "C0153658" "Malignant neoplasm of endocrine gland"
"11" "C1336415" "Stage IV Extragonadal Non-Seminomatous Germ Cell Tumor" "G/P" "C0153658" "Malignant neoplasm of endocrine gland"
"12" "C1336416" "Stage IV Extragonadal Seminoma" "G/P" "C0153594;C0348374" "Malignant neoplasm of testis;Malignant neoplasm of central nervous system"
"13" "C2930820" "Incontinentia pigmenti, familial male-lethal type" "A" "C0021171" "Bloch Sulzberger syndrome"
"14" "C0598766" "Leukemogenesis" "G/P" "C0027651" "Neoplasms"
"15" "C3273019" "Early Hepatocellular Carcinoma" "G/P" "C2239176" "Liver carcinoma"
"16" "C0277964" "Subcutaneous crepitus" "A" "C0159040" "Changes in skin texture"
"17" "C0266495" "Dural arteriovenous malformation" "G/P" "C0340797;C0497552" "Vascular malformation peripheral;Congenital neurologic anomalies"
"18" "C0266168" "Ectopic intestinal mucosa" "G/P" "C1290601" "Congenital anomaly of intestinal tract"
"19" "C0003152" "Anterior Compartment Syndrome" "A" "C0496123" "Traumatic ischemia of muscle"
"20" "C1263840" "Indication for modification of patient status" "G/P" "C0004936" "Mental disorders"
"21" "C2828100" "Stage IIIB Vulvar Cancer" "G/P" "C0375071" "Malignant neoplasm of vulva"
"22" "C2909173" "preterm labor with term delivery" "G/P" "C0080276;C0269815" "Disorder of the genitourinary system;Complication of labor and delivery, unspecified"
"23" "C1518770" "P13K-AKT Pathway Deregulation" "O" "C0023473" "Myeloid Leukemia, Chronic"
"24" "C0036868" "Sex Chromosome Aberrations" "A" "C0008626;C0221033;C0478107" "Congenital chromosomal disease;Trisomy X syndrome;Other specified chromosome abnormalities"
"25" "C0861624" "Squamous cell carcinoma of the oral cavity stage IV" "G/P" "C0153381" "Malignant neoplasm of mouth"
"26" "C2891266" "Unspecified complication of bone marrow transplant" "G/P" "C0340990" "Bone marrow transplant rejection"
"27" "C0442857" "Hypothalamic injury" "G/P" "C0006111;C0014130;C0347535" "Brain Diseases;Endocrine System Diseases;Intracranial injury"
"28" "C0007774" "Cerebral Arterial Diseases" "A" "C0007820" "Cerebrovascular Disorders"
"29" "C0340613" "Arterial aneurysm" "A" "C0002940" "Aneurysm"
"30" "C0264958" "Ruptured aneurysm of artery" "A" "C0002940" "Aneurysm"
"31" "C1321093" "Infected hernioplasty mesh" "G/P" "C0274310;C0348336" "Complication of surgical and medical care, unspecified;Other and unspecified infectious diseases"
"32" "C0340257" "Ventilator-associated lung injury" "A" "C0869285" "Other complications of procedures, not elsewhere classified in ICD10CM"
"33" "C0338337" "untreated childhood cerebellar astrocytoma" "G/P" "C0006111;C0027651;C0027765;C0153633" "Brain Diseases;Neoplasms;nervous system disorder;Malignant neoplasm of brain"
"34" "C0752156" "Dural Arteriovenous Fistula" "A" "C1541850" "Acquired arteriovenous aneurysm"
"35" "C0518947" "Acute bacterial pharyngitis" "G/P" "C0001344;C0004623" "Acute pharyngitis;Bacterial Infections"
"36" "C0301948" "Chronic graft rejection" "A" "C0478500" "Failure and rejection of other transplanted organs and tissues"
"37" "C0154562" "Chronic motor tic disorder" "A" "C0008701;C0040188" "Chronic Motor or Vocal Tic Disorder;Tic disorder"
"38" "C0270319" "Chronic vocal tic disorder" "A" "C0008701" "Chronic Motor or Vocal Tic Disorder"
"39" "C0427086" "Involuntary Movements" "A" "C0478126" "Other and unspecified abnormal involuntary movements"
"40" "C1846609" "EPILEPSY, PARTIAL, WITH PERICENTRAL SPIKES" "G/P" "C0014544;C0494471" "Epilepsy;Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures"
"41" "C0040797" "Traumatic hemorrhage" "G/P" "C0019065;C0348668;C0869085" "Hemoperitoneum;Other and unspecified disorders of the circulatory system;Hemorrhage, not elsewhere classified in ICD10CM"
"42" "C1859972" "ADRENOCORTICAL CARCINOMA, HEREDITARY" "G/P" "C0346402;C0750887" "Malignant neoplasm of adrenal cortex;Adrenal Cancer"
"43" "C0859055" "Oedema vascular" "A" "C0002994" "Angioedema"
"44" "C0400839" "Ulcer of rectum" "A" "C0400832" "Ulcer of anus and rectum"
"45" "C0700638" "Common iliac aneurysm" "A" "C0162870" "Iliac Aneurysm"
"46" "C1112488" "Neonatal bradycardia" "A" "C1533637" "Neonatal dysrhythmia"
"47" "C0332769" "Closed dislocation" "G/P" "C0019554;C0037005;C0159914;C0159941;C0159956;C0159970;C0272806;C0434609;C0434691;C0434717;C0478388;C0478393;C0495903;C1135812;C2720437" "Hip Dislocation;Shoulder Dislocation;Temporomandibular joint dislocation;Dislocation of wrist;Dislocation of finger;Knee Dislocation;Dislocation of cervical vertebra;Dislocation of radial head;Dislocation of ankle;Dislocation of toe joint;Dislocation, sprain and strain of unspecified body region;Other injuries of unspecified body region;Multiple dislocations of fingers;Patellar Dislocation;Dislocation of elbow joint"
"48" "C0751577" "Unilateral Vocal Cord Paresis" "G/P" "C0494657" "Paralysis of vocal cords or larynx"
"49" "C2237640" "abdominal wall wound" "G/P" "C0478267" "Unspecified injury of abdomen, lower back and pelvis"
"50" "C3273085" "PIK3CA Gene Amplification" "O" "C0008311;C0149955;C0156273;C0265740;C0265780;C0266011;C0432378;C1609433" "Cholangitis;Annular pancreas;Bladder Diverticulum;Arrhinia;Congenital absence of lung;Accessory nipple;Congenital malformations of other endocrine glands;Congenital absence of kidneys syndrome"
"51" "C0342394" "Familial central diabetes insipidus" "A" "C0011848" "Diabetes Insipidus"
"52" "C0021508" "Disorders of Environmental Origin" "G/C" "C0013679;C0478147" "Other and unspecified external effect causes;General symptoms and signs (R50-R69)"
"53" "C0751900" "Tic, Motor" "A" "C0040188" "Tic disorder"
"54" "C0751901" "Tic, Vocal" "A" "C0040188" "Tic disorder"
"55" "C0023105" "Schizophrenia, Latent" "A" "C0036341;C0338798;C1443045" "Schizophrenia;Other schizophrenia;Schizotypal disorder"
"56" "C0235181" "Character change in" "G/P" "C0004936" "Mental disorders"
"57" "C2931139" "Nondystrophic myotonia" "G/P" "C0026848;C0393593" "Myopathy;Dystonia Disorders"
"58" "C0456059" "Fetal growth abnormality" "G/P" "C0270075" "Perinatal disorder"
"59" "C0270920" "Supranuclear paralysis" "G/P" "C0270788" "Paralytic syndrome"
"60" "C0393568" "Vascular parkinsonism" "A" "C0030569" "Secondary Parkinson Disease"
"61" "C0270729" "Parkinsonism due to drug" "A" "C0030569" "Secondary Parkinson Disease"
"62" "C0018852" "Heavy Chain Disease" "A" "C0018854" "gamma-Chain Disease"
"63" "C2959662" "Open pilon fracture" "G/P" "C0262488;C0478336;C0562509" "Fracture of distal end of tibia;Fractures of other parts of lower leg;Open wound of lower leg"
"64" "C0578477" "Duodenal polyposis" "A" "C0837225" "Polyp of stomach and duodenum"
"65" "C0752125" "Spinocerebellar Ataxia Type 7" "G/P" "C0393519" "Cerebellar Ataxia, Early Onset"
"66" "C0342387" "LH - luteinizing hormone deficiency" "A" "C0020635" "Hypopituitarism"
"67" "C0155867" "Pneumonia in aspergillosis" "A" "C0276653;C0339961;C0348258" "Invasive Pulmonary Aspergillosis;Fungal pneumonia;Other pulmonary aspergillosis"
"68" "C0274316" "Complication of internal device" "A" "C0496155" "Unspecified complication of internal prosthetic device, implant and graft"
"69" "C0919718" "Calcification of mitral valve" "G/P" "C0018799;C0026266;C0026267;C0264765;C0348601;C0349075;C0494590" "Heart Diseases;Mitral Valve Insufficiency;Mitral Valve Prolapse Syndrome;Rheumatic disease of mitral valve;Other nonrheumatic mitral valve disorders;Non-rheumatic mitral valve stenosis;Nonrheumatic mitral valve disorder, unspecified"
"70" "C0029441" "Osteoid osteoma" "G/P" "C0153959" "Benign tumor of bone and articular cartilage"
"71" "C0270422" "Severe bipolar disorder with psychotic features" "A" "C0005586" "Bipolar Disorder"
"72" "C0265292" "Schwartz-Lelek syndrome" "A" "C0020492;C0020534" "Hyperostosis;Orbital separation excessive"
"73" "C1263722" "Chronic metabolic disorder" "A" "C0025517" "Metabolic Diseases"
"74" "C0413263" "Local pressure effects" "G/P" "C3263723" "Traumatic injury"
"75" "C0349501" "Melanocytic tumor of skin" "G/P" "C0007114;C0496955" "Malignant neoplasm of skin;Neoplasm of uncertain or unknown behavior of skin"
"76" "C0267642" "Childhood celiac disease" "A" "C0007570" "Celiac Disease"
"77" "C0265856" "Hypoplasia of right heart" "G/P" "C0018798" "Congenital Heart Defects"
"78" "C0301889" "Immune defect" "A" "C0041806" "Unspecified disorder of immune mechanism"
"79" "C1306792" "Red man syndrome" "G/P" "C0020517;C0041834" "Hypersensitivity;Erythema"
"80" "C0332945" "Congenital medial deviation" "G/P" "C0000768" "Congenital Abnormality"
"81" "C0265103" "Vertebral Artery Stenosis" "A" "C0155724" "Occlusion and stenosis of vertebral artery"
"82" "C0751509" "Short Sleeper Syndrome" "A" "C0236993" "Other sleep disorders"
"83" "C0848642" "sacroilitis" "G/P" "C0409651" "Seropositive rheumatoid arthritis"
"84" "C1335929" "Schwannomatosis" "G/P" "C0007114;C0495632;C0496955" "Malignant neoplasm of skin;Neurofibromatosis (nonmalignant);Neoplasm of uncertain or unknown behavior of skin"
"85" "C0281782" "asymptomatic hyperuricemia" "G/P" "C0029595;C0034139" "Other disorders of purine and pyrimidine metabolism;Purine-Pyrimidine Metabolism, Inborn Errors"
"86" "C0086743" "Osteoarthrosis Deformans" "G/P" "C0022408" "Arthropathy"
"87" "C1850386" "GIANT AXONAL NEUROPATHY 1" "A" "C0477392" "Other hereditary and idiopathic neuropathies"
"88" "C0340223" "Infectious disorder of trachea" "G/P" "C0238990;C0339899" "Acute lower respiratory tract infection;Other specified diseases of upper respiratory tract"
"89" "C0011551" "Depersonalization" "G/P" "C0020703;C0349091" "Dissociative Hysteria;Unspecified mental disorder due to brain damage and dysfunction and to physical disease"
"90" "C0233754" "Derealization" "G/P" "C0349091;C0556006" "Unspecified mental disorder due to brain damage and dysfunction and to physical disease;Mental, behavioral disorders"
"91" "C1444100" "Infection due to ESBL Escherichia coli" "A" "C2939130" "Other bacterial diseases"
"92" "C0011574" "Involutional Depression" "A" "C0349216" "Other depressive episodes"
"93" "C0574997" "Ankle joint laxity" "G/P" "C0869063" "Other specific joint derangements, not elsewhere classified in ICD10CM"
"94" "C0023761" "Lip Neoplasms" "A" "C0153340" "Cancer of Lip"
"95" "C1510453" "strain symptom" "A" "C0027804" "Neurasthenia"
"96" "C0009374" "Colonic Diseases, Functional" "A" "C0022104" "Irritable Bowel Syndrome"
"97" "C0085819" "Antibiotic-Associated Colitis" "G/P" "C0494025" "Intestinal infection due to clostridium difficile"
"98" "C1282988" "Nuclear sclerotic cataract" "A" "C0271166" "Nuclear senile cataract"
"99" "C0456086" "Intrapartum fetal hypoxia" "G/P" "C0004044;C0270075" "Asphyxia;Perinatal disorder"
"100" "C1334953" "Neuroblastic Tumor" "G/P" "C0006826;C0027765" "Malignant Neoplasms;nervous system disorder"
"101" "C1563220" "Corneal epithelial wound" "A" "C0478209" "Other injuries of eye and orbit"
"102" "C0333483" "Atherosclerotic fibrous plaque" "G/P" "C0017327" "Generalized atherosclerosis"
"103" "C0276680" "Infection by Candida albicans" "A" "C0006840" "Candidiasis"
"104" "C0729543" "Fungal infection by site" "G/P" "C0026946" "Mycoses"
"105" "C1336275" "Stage III Thyroid Gland Papillary Carcinoma" "G/P" "C0007115" "Malignant neoplasm of thyroid"
"106" "C3662068" "Static encephalopathy" "A" "C0085584" "Encephalopathies"
"107" "C1334682" "Mediastinal Teratoma" "G/P" "C0153658;C0347245;C0495679;C0497556" "Malignant neoplasm of endocrine gland;Benign neoplasm of intrathoracic organs;Localized swelling, mass and lump, trunk;Benign respiratory neoplasm"
"108" "C0578575" "Proximal aortic dissection" "A" "C0340643" "Dissection of aorta"
"109" "C0858906" "Infection pyogenic" "G/P" "C0348336" "Other and unspecified infectious diseases"
"110" "C0795687" "Cerebral arterial thrombosis" "A" "C0007820;C0494612" "Cerebrovascular Disorders;Occlusion and stenosis of unspecified cerebral artery"
"111" "C0877104" "Retinal toxicity" "G/P" "C0015397" "Disorder of eye"
"112" "C2983008" "Stage I Uterine Corpus Cancer" "G/P" "C0153574" "Malignant Uterine Corpus Neoplasm"
"113" "C2983010" "Stage III Uterine Corpus Cancer" "G/P" "C0153574" "Malignant Uterine Corpus Neoplasm"
"114" "C2983011" "Stage IV Uterine Corpus Cancer" "G/P" "C0153574" "Malignant Uterine Corpus Neoplasm"
"115" "C0159692" "Closed fracture of shaft of humerus" "A" "C0272612" "Fracture of shaft of humerus"
"116" "C0162770" "Right Ventricular Hypertrophy" "A" "C0018800" "Cardiomegaly"
"117" "C3658261" "Chemotherapy-Induced Febrile Neutropenia" "G/P" "C0001824" "Agranulocytosis"
"118" "C0596763" "Immunotoxicity" "G/P" "C3263723" "Traumatic injury"
"119" "C2828035" "Stage IIIB Skin Melanoma" "G/P" "C0151779" "Cutaneous Melanoma"
"120" "C1960469" "Left ventricular noncompaction" "O" "C0010314;C0013080;C0014117;C0018798;C0024796;C0221018;C1956097" "Cri-du-Chat Syndrome;Down Syndrome;Endocardial Fibroelastosis;Congenital Heart Defects;Marfan Syndrome;Hereditary sideroblastic anemia;Wolf-Hirschhorn Syndrome"
"121" "C0866177" "Renal failure with tubular necrosis" "O" "C0022672" "Kidney Tubular Necrosis, Acute"
"122" "C0340732" "Venous insufficiency of leg" "G/P" "C0235522;C1306557" "Disorder of vein;Chronic venous insufficiency"
"123" "C0268233" "GALACTOSIALIDOSIS" "A" "C0494342" "Defects in glycoprotein degradation"
"124" "C0342849" "beta-Mannosidosis" "A" "C0494342" "Defects in glycoprotein degradation"
"125" "C1836544" "Schindler Disease, Type I" "G/P" "C0027765;C0221394;C0342844;C0524851" "nervous system disorder;Circumscribed atrophy of brain;Disorder of glycoprotein metabolism;Neurodegenerative Disorders"
"126" "C0008523" "Choroid Neoplasms" "G/P" "C0008521;C0496836" "Choroid Diseases;Malignant tumor of eye"
"127" "C1335178" "serous surface papillary carcinoma of ovary" "G/P" "C0006826;C0027651;C1140680" "Malignant Neoplasms;Neoplasms;Malignant neoplasm of ovary"
"128" "C0403666" "Urinary incontinence due to urethral sphincter incompetence" "G/P" "C0042024" "Urinary Incontinence"
"129" "C0472842" "Enlarged labial frenum" "A" "C0023760" "Lip Diseases"
"130" "C0268337" "Ehlers-Danlos syndrome, type 3 (disorder)" "A" "C0013720" "Ehlers-Danlos Syndrome"
"131" "C1274266" "Axillary hidradenitis suppurativa" "A" "C0162836" "Hidradenitis Suppurativa"
"132" "C1168305" "Corneal melt" "A" "C0010043" "Corneal Ulcer"
"133" "C0406735" "Hypoplastic enamel-onycholysis-hypohidrosis syndrome" "A" "C0399352" "Developmental absence of tooth"
"134" "C1563730" "Abdominal Cryptorchidism" "G/P" "C0010417" "Cryptorchidism"
