"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C2936821" "Spinal Cerebrospinal fluid leak" "G/P" "C0018674" "Craniocerebral Trauma"
"2" "C3714636" "Pneumonitis" "A" "C0032285;C0339951" "Pneumonia;Pneumonia, organism unspecified"
"3" "C3714660" "Trauma" "A" "C3263723" "Traumatic injury"
"4" "C3714496" "Chronic obstructive pulmonary disease of horses" "G/P" "C0020517;C0024117;C0348713" "Hypersensitivity;Chronic Obstructive Airway Disease;Other specified respiratory disorders"
"5" "C1963179" "Nausea Adverse Event" "O" "C0027498" "Nausea and vomiting"
"6" "C0040860" "Portal triaditis" "G/P" "C0007222;C0019158" "Cardiovascular Diseases;Hepatitis"
"7" "C1835047" "MELANOMA, CUTANEOUS MALIGNANT, 1" "G/P" "C0151779" "Cutaneous Melanoma"
"8" "C3812887" "Idiopathic pulmonary fibrosis" "A" "C0348703" "Other interstitial pulmonary diseases with fibrosis"
"9" "C3714619" "Insulin resistance syndrome" "G/P" "C0014130" "Endocrine System Diseases"
"10" "C3714796" "Isolated somatotropin deficiency" "A" "C0020635" "Hypopituitarism"
"11" "C2931029" "Nevi flammei, familial multiple" "G/P" "C0474891" "Congenital non-neoplastic nevus"
"12" "C3714844" "Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia" "G/P" "C0152171" "Idiopathic pulmonary hypertension"
"13" "C1272350" "Deficiency of vitamin D2" "A" "C0042870" "Vitamin D Deficiency"
"14" "C0347015" "Secondary malignant neoplasm of pituitary gland" "G/P" "C0494168;C0496842" "Secondary malignant neoplasm of brain and cerebral meninges;Malignant neoplasm of pituitary gland"
"15" "C3714581" "Multicystic Dysplastic Kidney" "A" "C0022680" "Polycystic Kidney Diseases"
"16" "C1833662" "INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA" "A" "C0029401" "Osteitis Deformans"
"17" "C1334991" "Non-Metastatic Neoplasm" "G/P" "C0027651" "Neoplasms"
"18" "C2960003" "Fracture of body of vertebra" "A" "C0478393" "Other injuries of unspecified body region"
