"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"1" "C0001627" "Congenital adrenal hyperplasia" "A" "C0494311;C0701163" "Congenital adrenogenital disorders associated with enzyme deficiency;Adrenogenital disorder"
"2" "C0027092" "Myopia" "I" "C0027092" "Myopia"
"3" "C0035334" "Retinitis Pigmentosa" "A" "C0154860" "Hereditary retinal dystrophy"
"4" "C0024440" "Macular Edema, Cystoid" "G/P" "C0348553" "Other specified retinal disorders"
"5" "C0042164" "Uveitis" "A" "C0022073" "Iridocyclitis"
"6" "C0029134" "Optic Neuritis" "I" "C0029134" "Optic Neuritis"
"7" "C0206178" "Cytomegalovirus Retinitis" "G/P" "C0008513;C0010823;C0494081" "Chorioretinitis;Cytomegalovirus Infections;Herpesviral ocular disease"
"8" "C0014236" "Endophthalmitis" "A" "C0009763;C0155384;C0259800" "Conjunctivitis;Other specified disorders of eye and adnexa;Purulent endophthalmitis"
"9" "C0080194" "Muscle strain" "I" "C0080194" "Muscle strain"
"10" "C0558356" "Malignant melanoma of eye" "A" "C0496836" "Malignant tumor of eye"
"11" "C0028840" "Ocular Hypertension" "A" "C0017601;C0017614" "Glaucoma;Glaucoma, Suspect"
"12" "C0155305" "Optic Neuropathy, Ischemic" "A" "C0494539" "Disorders of optic nerve, not elsewhere classified"
"13" "C0152216" "Esophoria" "A" "C0038379" "Strabismus"
"14" "C0017601" "Glaucoma" "I" "C0017601" "Glaucoma"
"15" "C0035344" "Retinopathy of Prematurity" "I" "C0035344" "Retinopathy of Prematurity"
"16" "C1720105" "AIDS-associated disorder" "O" "C0019693" "HIV Infections"
"17" "C0015397" "Disorder of eye" "I" "C0015397" "Disorder of eye"
"18" "C0011884" "Diabetic Retinopathy" "I" "C0011884" "Diabetic Retinopathy"
"19" "C0242383" "Age related macular degeneration" "A" "C0339436;C0339438" "Degeneration of macula and posterior pole;Other retinal disorders"
"20" "C0024437" "Macular degeneration" "A" "C0339436" "Degeneration of macula and posterior pole"
"21" "C0027686" "Pathologic Neovascularization" "G/P" "C0348668" "Other and unspecified disorders of the circulatory system"
"22" "C0684320" "Disease regression" "O" "C0027962;C0151779;C0151779;C0151779;C0477529" "Melanocytic nevus;Cutaneous Melanoma;Cutaneous Melanoma;Cutaneous Melanoma;Other specified disorders of skin and subcutaneous tissue"
"23" "C0086543" "Cataract" "I" "C0086543" "Cataract"
"24" "C0521707" "Bilateral cataracts (disorder)" "A" "C0086543" "Cataract"
"25" "C0332573" "Macule" "G/P" "C0178298" "Skin and subcutaneous tissue disorders"
"26" "C0035309" "Retinal Diseases" "I" "C0035309" "Retinal Diseases"
